,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607885830162:eee44e9c-da38-4113-bec4-25389396b0a3,1607885830162:c54fc84e-ed7e-41c1-900e-2ae8fd17c930
9,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
10,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
11,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
12,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
13,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830162:56578115-7f7a-417e-bb4b-763251538dbe,1607885830162:f82a8d30-e4ae-4cbb-890b-a19262e2e03e
25,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607885830162:2cded658-084b-4cb7-bc8e-d75e4b9511dc,1607885830162:cd006f25-7791-43b0-bc80-1308c0728e40
67,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607885830161:2bf52b8e-d870-47fd-a75e-20b5a9ccf911,1607885830161:7778d0b2-7732-4154-8ebd-5f5df496bc9e
237,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607885830153:e95935ee-67b9-4400-a6dc-84e98ce7da18,1607885830153:5a870cb0-fe21-4a90-a6f5-52d2de74d625
273,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830152:8c29368d-9e23-4775-8112-8ec35dea5f90,1607885830152:eefb2e28-2939-4d4e-b3f4-d0eabed8ce3f
641,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes,1607885830142:b5554f0a-ad46-4d63-b204-650c5e58b76b,1607885830142:013ee697-5e11-4375-8541-556f63438e06
1016,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830134:d9ea7974-de2a-4b73-8cea-5cb746bd559a,1607885830134:79b4bc56-cd91-432b-84b0-b7e7bbf7de32
1448,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
1449,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
1450,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607885830119:0d273499-af60-4516-8175-3852a3fa85aa,1607885830119:bbca2596-3c81-42bd-8068-7d09904b4b8f
2032,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607885830103:854c1f39-e7f7-4c92-ae54-61291954d578,1607885830103:7d170c93-c268-43fb-a510-bc8b85a93645
5152,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607885829967:6537989a-6905-410f-85d0-6960bf8857d9,1607885829967:fbf26d35-4bbc-4777-b9ef-f53375ca5524
7261,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607885829883:60a91ac8-e335-4b36-bd9a-b5f00be96dac,1607885829883:b05008c8-7d21-4f7f-9c04-4fd96dd7a799
10473,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607885829731:eb5acad9-3c26-4912-9364-8a79ec018cc5,1607885829731:46a08ba7-c294-4640-9fa2-0bb059c358d5
10699,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""pop""",Yes,1607885829708:1a55514a-5020-4bc7-9f7e-955b000daa6d,1607885829709:1e8d05f2-8b55-4407-8860-e51f1d098692
